nsfw,nsfwLevel,models
0,1,153644
1,60,122960
0,3,46208
0,7,45206
0,5,28941
0,,28815
0,15,19174
1,28,19013
0,31,15550
0,4,12271
0,6,12127
0,13,8255
0,9,7390
0,2,7280
1,,7106
0,29,6353
0,23,6064
0,12,5603
0,14,5423
0,28,5094
0,30,4931
0,11,4752
0,16,4110
0,21,3473
0,24,3241
0,8,3205
0,25,3113
0,17,2859
0,20,2802
0,22,2322
0,27,2084
0,19,1780
0,60,1384
0,10,1320
0,26,825
0,18,628
0,63,205
0,33,130
0,61,104
0,62,34
0,35,25
0,39,18
0,37,12
0,0,10
0,47,9
1,1,7
0,45,5
,,4
0,36,4
0,38,3
0,44,3
0,49,3
0,56,3
0,40,2
0,41,2
0,51,2
0,55,2
1,2,2
1,5,2
1,7,2
0,48,1
0,53,1
0,54,1
0,57,1
1,6,1
1,8,1
1,20,1
1,22,1
1,24,1
1,25,1
